Behaviors;Observations;Intervals;F1-F;F2-F;F3-S;F4-S;M1-S
rearing;C6F-formalin;1500.00-1800.00;0;0;6;0;0
digging;C1F-baseline;0.00-300.00;0;0;0;0;0
digging;C1F-baseline;300.00-600.00;0;0;0;0;0
digging;C1F-baseline;600.00-900.00;0;0;0;0;0
digging;C1F-baseline;900.00-1200.00;0;0;0;0;1
digging;C1F-baseline;1200.00-1500.00;0;0;0;0;1
digging;C1F-baseline;1500.00-1800.00;0;0;0;0;1
digging;C2F-baseline;0.00-300.00;0;0;0;0;0
digging;C2F-baseline;300.00-600.00;1;0;0;0;0
digging;C2F-baseline;600.00-900.00;0;0;0;0;0
digging;C2F-baseline;900.00-1200.00;0;0;1;1;0
digging;C2F-baseline;1200.00-1500.00;0;0;1;0;2
digging;C2F-baseline;1500.00-1800.00;0;0;0;0;0
digging;C5F-baseline;0.00-300.00;0;0;0;0;0
digging;C5F-baseline;300.00-600.00;0;0;0;0;0
digging;C5F-baseline;600.00-900.00;0;0;0;0;0
digging;C5F-baseline;900.00-1200.00;0;0;0;0;0
digging;C5F-baseline;1200.00-1500.00;0;0;0;0;0
digging;C5F-baseline;1500.00-1800.00;0;0;0;0;0
digging;C6F-baseline;0.00-300.00;0;0;0;0;0
digging;C6F-baseline;300.00-600.00;0;0;0;0;0
digging;C6F-baseline;600.00-900.00;0;0;0;0;0
digging;C6F-baseline;900.00-1200.00;0;0;0;0;0
digging;C6F-baseline;1200.00-1500.00;0;0;0;0;0
digging;C6F-baseline;1500.00-1800.00;0;0;3;0;0
digging;C1F-formalin;0.00-300.00;1;0;0;0;0
digging;C1F-formalin;300.00-600.00;1;0;0;0;4
digging;C1F-formalin;600.00-900.00;0;0;2;0;0
digging;C1F-formalin;900.00-1200.00;4;0;0;0;0
digging;C1F-formalin;1200.00-1500.00;0;0;0;0;0
digging;C1F-formalin;1500.00-1800.00;0;0;0;3;0
digging;C2F-formalin;0.00-300.00;0;0;0;0;0
digging;C2F-formalin;300.00-600.00;0;0;0;0;0
digging;C2F-formalin;600.00-900.00;0;0;0;0;0
digging;C2F-formalin;900.00-1200.00;0;0;0;2;0
digging;C2F-formalin;1200.00-1500.00;0;0;0;0;0
digging;C2F-formalin;1500.00-1800.00;0;0;0;0;0
digging;C5F-formalin;0.00-300.00;0;0;0;0;0
digging;C5F-formalin;300.00-600.00;0;0;2;0;0
digging;C5F-formalin;600.00-900.00;0;0;0;0;0
digging;C5F-formalin;900.00-1200.00;0;0;0;0;0
digging;C5F-formalin;1200.00-1500.00;0;0;0;0;3
digging;C5F-formalin;1500.00-1800.00;0;0;0;0;0
digging;C6F-formalin;0.00-300.00;0;0;1;0;0
digging;C6F-formalin;300.00-600.00;0;0;0;0;0
digging;C6F-formalin;600.00-900.00;0;0;0;0;0
digging;C6F-formalin;900.00-1200.00;0;0;0;0;0
digging;C6F-formalin;1200.00-1500.00;0;0;0;0;0
digging;C6F-formalin;1500.00-1800.00;0;0;0;0;0
nesting;C1F-baseline;0.00-300.00;8;0;1;6;2
nesting;C1F-baseline;300.00-600.00;2;1;2;0;7
nesting;C1F-baseline;600.00-900.00;2;0;1;4;6
